,Date,Model,Count,Normalized Count,day,month,year
207,968,32,16,-0.2561082321721902,29,8,2016
208,968,5,1,-0.30371782892444277,29,8,2016
209,968,117,4,-0.2941959095739923,29,8,2016
210,968,106,54,-0.13549725373315033,29,8,2016
211,968,98,3,-0.2973698826908091,29,8,2016
212,968,66,2,-0.30054385580762594,29,8,2016
213,968,73,2,-0.30054385580762594,29,8,2016
214,968,84,4,-0.2941959095739923,29,8,2016
215,968,97,1,-0.30371782892444277,29,8,2016
216,968,74,9,-0.27832604398990807,29,8,2016
217,968,112,4,-0.2941959095739923,29,8,2016
218,968,122,1,-0.30371782892444277,29,8,2016
219,968,65,1,-0.30371782892444277,29,8,2016
220,968,1,81,-0.049799979579095675,29,8,2016
221,968,51,25,-0.22754247412083864,29,8,2016
222,968,62,70,-0.0847136838640809,29,8,2016
223,968,68,4,-0.2941959095739923,29,8,2016
224,968,45,975,2.787731986855158,29,8,2016
225,968,11,9,-0.27832604398990807,29,8,2016
226,968,20,11,-0.27197809775627435,29,8,2016
227,968,87,24,-0.23071644723765547,29,8,2016
228,968,92,5,-0.2910219364571754,29,8,2016
229,968,93,2,-0.30054385580762594,29,8,2016
230,968,19,6,-0.28784796334035856,29,8,2016
231,968,123,2,-0.30054385580762594,29,8,2016
232,968,96,48,-0.15454109243405134,29,8,2016
233,968,61,33,-0.20215068918630394,29,8,2016
234,968,27,26,-0.2243685010040218,29,8,2016
235,968,116,1,-0.30371782892444277,29,8,2016
236,968,35,187,0.2866411708034892,29,8,2016
237,968,57,1,-0.30371782892444277,29,8,2016
238,968,9,9,-0.27832604398990807,29,8,2016
239,968,111,6,-0.28784796334035856,29,8,2016
240,968,88,50,-0.14819314620041768,29,8,2016
241,968,47,3,-0.2973698826908091,29,8,2016
242,968,13,1,-0.30371782892444277,29,8,2016
243,968,70,22,-0.23706439347128916,29,8,2016
244,968,110,5,-0.2910219364571754,29,8,2016
245,968,2,42,-0.17358493113495238,29,8,2016
246,968,102,56,-0.12914930749951664,29,8,2016
247,968,94,8,-0.2815000171067249,29,8,2016
248,968,25,3,-0.2973698826908091,29,8,2016
249,968,56,2,-0.30054385580762594,29,8,2016
250,968,24,1,-0.30371782892444277,29,8,2016
251,968,15,34,-0.19897671606948708,29,8,2016
252,968,34,21,-0.240238366588106,29,8,2016
253,968,83,2,-0.30054385580762594,29,8,2016
254,968,33,639,1.7212770196047003,29,8,2016
255,968,37,2704,8.275531505831472,29,8,2016
256,968,105,2,-0.30054385580762594,29,8,2016
257,968,10,4,-0.2941959095739923,29,8,2016
258,968,118,2,-0.30054385580762594,29,8,2016
259,968,103,193,0.30568500950439026,29,8,2016
260,968,99,6,-0.28784796334035856,29,8,2016
261,968,43,689,1.8799756754455421,29,8,2016
262,968,114,27,-0.22119452788720495,29,8,2016
263,968,16,1,-0.30371782892444277,29,8,2016
264,968,29,2,-0.30054385580762594,29,8,2016
